b3027300|	add x5,x6,x7
9302f3ff|	addi x5,x6,-1
9302f37f|	addi x5,x6,2047
1305a000|	li x10,10
13000000|	nop
93870900|	mv x15,x19
9b02f37f|	addiw x5,x6,2047
1b830a00|	sext.w x6,x21
bb027300|	addw x5,x6,x7
afb26300|	amoadd.d x5,x6,(x7)
afb26304|	amoadd.d.aq x5,x6,(x7)
afb26302|	amoadd.d.rl x5,x6,(x7)
afa26300|	amoadd.w x5,x6,(x7)
afa26304|	amoadd.w.aq x5,x6,(x7)
afa26302|	amoadd.w.rl x5,x6,(x7)
afb26360|	amoand.d x5,x6,(x7)
afb26364|	amoand.d.aq x5,x6,(x7)
afb26362|	amoand.d.rl x5,x6,(x7)
afa26360|	amoand.w x5,x6,(x7)
afa26364|	amoand.w.aq x5,x6,(x7)
afa26362|	amoand.w.rl x5,x6,(x7)
afb263e0|	amomaxu.d x5,x6,(x7)
afb263e4|	amomaxu.d.aq x5,x6,(x7)
afb263e2|	amomaxu.d.rl x5,x6,(x7)
afa263e0|	amomaxu.w x5,x6,(x7)
afa263e4|	amomaxu.w.aq x5,x6,(x7)
afa263e2|	amomaxu.w.rl x5,x6,(x7)
afb263a0|	amomax.d x5,x6,(x7)
afb263a4|	amomax.d.aq x5,x6,(x7)
afb263a2|	amomax.d.rl x5,x6,(x7)
afa263a0|	amomax.w x5,x6,(x7)
afa263a4|	amomax.w.aq x5,x6,(x7)
afa263a2|	amomax.w.rl x5,x6,(x7)
afb263c0|	amominu.d x5,x6,(x7)
afb263c4|	amominu.d.aq x5,x6,(x7)
afb263c2|	amominu.d.rl x5,x6,(x7)
afa263c0|	amominu.w x5,x6,(x7)
afa263c4|	amominu.w.aq x5,x6,(x7)
afa263c2|	amominu.w.rl x5,x6,(x7)
afb26380|	amomin.d x5,x6,(x7)
afb26384|	amomin.d.aq x5,x6,(x7)
afb26382|	amomin.d.rl x5,x6,(x7)
afa26380|	amomin.w x5,x6,(x7)
afa26384|	amomin.w.aq x5,x6,(x7)
afa26382|	amomin.w.rl x5,x6,(x7)
afb26340|	amoor.d x5,x6,(x7)
afb26344|	amoor.d.aq x5,x6,(x7)
afb26342|	amoor.d.rl x5,x6,(x7)
afa26340|	amoor.w x5,x6,(x7)
afa26344|	amoor.w.aq x5,x6,(x7)
afa26342|	amoor.w.rl x5,x6,(x7)
afb26308|	amoswap.d x5,x6,(x7)
afb2630c|	amoswap.d.aq x5,x6,(x7)
afb2630a|	amoswap.d.rl x5,x6,(x7)
afa26308|	amoswap.w x5,x6,(x7)
afa2630c|	amoswap.w.aq x5,x6,(x7)
afa2630a|	amoswap.w.rl x5,x6,(x7)
afb26320|	amoxor.d x5,x6,(x7)
afb26324|	amoxor.d.aq x5,x6,(x7)
afb26322|	amoxor.d.rl x5,x6,(x7)
afa26320|	amoxor.w x5,x6,(x7)
afa26324|	amoxor.w.aq x5,x6,(x7)
afa26322|	amoxor.w.rl x5,x6,(x7)
b3727300|	and x5,x6,x7
9372f3ff|	andi x5,x6,-1
9372f37f|	andi x5,x6,2047
97020000|	auipc x5,0x0
97028000|	auipc x5,0x800
e38062f0|	beq x5,x6,-256
e3de62ee|	bge x5,x6,-260
e3fc62ee|	bgeu x5,x6,-264
e3ca62ee|	blt x5,x6,-268
e3e862ee|	bltu x5,x6,-272
e39662ee|	bne x5,x6,-276
63940200|	bnez x5,8
63c40400|	bltz x9,8
63447000|	bgtz x7,8
63d40900|	bgez x19,8
6354d001|	blez x29,8
63040800|	beqz x16,8
f33213c0|	csrrc x5,time,x6
f3f21fc0|	csrrci x5,time,31
f32213c0|	csrrs x5,time,x6
f3e21fc0|	csrrsi x5,time,31
f31213c0|	csrrw x5,time,x6
f3d21fc0|	csrrwi x5,time,31
733015c0|	csrc time,x10
73f010c0|	csrci time,1
73253000|	frcsr x10
f3251000|	frflags x11
73262000|	frrm x12
f32400c0|	rdcycle x9
732920c0|	rdinstret x18
f32910c0|	rdtime x19
f3224014|	csrr x5,sip
73201bc0|	csrs time,x22
736014c8|	csrsi timeh,8
73903700|	fscsr x15
73101800|	fsflags x16
73902800|	fsrm x17
731014c0|	csrw time,x8
735016c8|	csrwi timeh,12
b3427302|	div x5,x6,x7
b3527302|	divu x5,x6,x7
bb527302|	divuw x5,x6,x7
bb427302|	divw x5,x6,x7
73001000|	ebreak
73000000|	ecall
0f00f00f|	fence
53f02002|	fadd.d f0,f1,f2
53f02004|	fadd.h f0,f1,f2
53f02006|	fadd.q f0,f1,f2
53f02000|	fadd.s f0,f1,f2
d31200e2|	fclass.d x5,f0
d31200e4|	fclass.h x5,f0
d31200e6|	fclass.q x5,f0
d31200e0|	fclass.s x5,f0
53f022d2|	fcvt.d.l f0,x5
53f032d2|	fcvt.d.lu f0,x5
53f03042|	fcvt.d.q f0,f1
53800042|	fcvt.d.s f0,f1
538002d2|	fcvt.d.w f0,x5
538012d2|	fcvt.d.wu f0,x5
53f022d4|	fcvt.h.l f0,x5
53f032d4|	fcvt.h.lu f0,x5
53f00044|	fcvt.h.s f0,f1
53f002d4|	fcvt.h.w f0,x5
53f012d4|	fcvt.h.wu f0,x5
d37230c2|	fcvt.lu.d x5,f0
d37230c4|	fcvt.lu.h x5,f0
d37230c6|	fcvt.lu.q x5,f0
d37230c0|	fcvt.lu.s x5,f0
d37220c2|	fcvt.l.d x5,f0
d37220c4|	fcvt.l.h x5,f0
d37220c6|	fcvt.l.q x5,f0
d37220c0|	fcvt.l.s x5,f0
53801046|	fcvt.q.d f0,f1
538022d6|	fcvt.q.l f0,x5
538032d6|	fcvt.q.lu f0,x5
53800046|	fcvt.q.s f0,f1
538002d6|	fcvt.q.w f0,x5
538012d6|	fcvt.q.wu f0,x5
53f01040|	fcvt.s.d f0,f1
53802040|	fcvt.s.h f0,f1
53f022d0|	fcvt.s.l f0,x5
53f032d0|	fcvt.s.lu f0,x5
53f03040|	fcvt.s.q f0,f1
53f002d0|	fcvt.s.w f0,x5
53f012d0|	fcvt.s.wu f0,x5
d37210c2|	fcvt.wu.d x5,f0
d37210c4|	fcvt.wu.h x5,f0
d37210c6|	fcvt.wu.q x5,f0
d37210c0|	fcvt.wu.s x5,f0
d37200c2|	fcvt.w.d x5,f0
d37200c4|	fcvt.w.h x5,f0
d37200c6|	fcvt.w.q x5,f0
d37200c0|	fcvt.w.s x5,f0
53f0201a|	fdiv.d f0,f1,f2
53f0201c|	fdiv.h f0,f1,f2
53f0201e|	fdiv.q f0,f1,f2
53f02018|	fdiv.s f0,f1,f2
0f00f00f|	fence
0f100000|	fence.i
d32210a2|	feq.d x5,f0,f1
d32210a4|	feq.h x5,f0,f1
d32210a6|	feq.q x5,f0,f1
d32210a0|	feq.s x5,f0,f1
07b0f27f|	fld f0,2047(x5)
d30210a2|	fle.d x5,f0,f1
d30210a4|	fle.h x5,f0,f1
d30210a6|	fle.q x5,f0,f1
d30210a0|	fle.s x5,f0,f1
0790f27f|	flh f0,2047(x5)
07c0f27f|	flq f0,2047(x5)
d31210a2|	flt.d x5,f0,f1
d31210a4|	flt.h x5,f0,f1
d31210a6|	flt.q x5,f0,f1
d31210a0|	flt.s x5,f0,f1
07a0f27f|	flw f0,2047(x5)
43f0201a|	fmadd.d f0,f1,f2,f3
43f0201c|	fmadd.h f0,f1,f2,f3
43f0201e|	fmadd.q f0,f1,f2,f3
43f02018|	fmadd.s f0,f1,f2,f3
5390202a|	fmax.d f0,f1,f2
5390202c|	fmax.h f0,f1,f2
5390202e|	fmax.q f0,f1,f2
53902028|	fmax.s f0,f1,f2
5380202a|	fmin.d f0,f1,f2
5380202c|	fmin.h f0,f1,f2
5380202e|	fmin.q f0,f1,f2
53802028|	fmin.s f0,f1,f2
47f0201a|	fmsub.d f0,f1,f2,f3
47f0201c|	fmsub.h f0,f1,f2,f3
47f0201e|	fmsub.q f0,f1,f2,f3
47f02018|	fmsub.s f0,f1,f2,f3
53f02012|	fmul.d f0,f1,f2
53f02014|	fmul.h f0,f1,f2
53f02016|	fmul.q f0,f1,f2
53f02010|	fmul.s f0,f1,f2
538002f2|	fmv.d.x f0,x5
538002f4|	fmv.h.x f0,x5
d30200e2|	fmv.x.d x5,f0
d30200e4|	fmv.x.h x5,f0
d30200e0|	fmv.x.w x5,f0
4ff0201a|	fnmadd.d f0,f1,f2,f3
4ff0201c|	fnmadd.h f0,f1,f2,f3
4ff0201e|	fnmadd.q f0,f1,f2,f3
4ff02018|	fnmadd.s f0,f1,f2,f3
4bf0201a|	fnmsub.d f0,f1,f2,f3
4bf0201c|	fnmsub.h f0,f1,f2,f3
4bf0201e|	fnmsub.q f0,f1,f2,f3
4bf02018|	fnmsub.s f0,f1,f2,f3
a7bf027e|	fsd f0,2047(x5)
53902022|	fsgnjn.d f0,f1,f2
53902024|	fsgnjn.h f0,f1,f2
53902026|	fsgnjn.q f0,f1,f2
53902020|	fsgnjn.s f0,f1,f2
53a02022|	fsgnjx.d f0,f1,f2
53a02024|	fsgnjx.h f0,f1,f2
53a02026|	fsgnjx.q f0,f1,f2
53a02020|	fsgnjx.s f0,f1,f2
53802022|	fsgnj.d f0,f1,f2
53802024|	fsgnj.h f0,f1,f2
53802026|	fsgnj.q f0,f1,f2
53802020|	fsgnj.s f0,f1,f2
53a01022|	fabs.d f0,f1
53a49420|	fabs.s f8,f9
d305c622|	fmv.d f11,f12
d306e720|	fmv.s f13,f14
d3170823|	fneg.d f15,f16
d398f720|	fneg.s f17,f15
a79f027e|	fsh f0,2047(x5)
a7cf027e|	fsq f0,2047(x5)
53f0005a|	fsqrt.d f0,f1
53f0005c|	fsqrt.h f0,f1
53f0005e|	fsqrt.q f0,f1
53f00058|	fsqrt.s f0,f1
53f0200a|	fsub.d f0,f1,f2
53f0200c|	fsub.h f0,f1,f2
53f0200e|	fsub.q f0,f1,f2
53f02008|	fsub.s f0,f1,f2
a7af027e|	fsw f0,2047(x5)
6ff0dfcb|	j -836
eff09fcb|	jal -840
eff25fcb|	jal x5,-844
67800200|	jr x5
e7800202|	jalr x1,32(x5)
67800000|	ret
6700a500|	jr 10(x10)
8302f37f|	lb x5,2047(x6)
8342f37f|	lbu x5,2047(x6)
af320310|	lr.d x5,(x6)
af320314|	lr.d.aq x5,(x6)
af320312|	lr.d.rl x5,(x6)
af220310|	lr.w x5,(x6)
af220314|	lr.w.aq x5,(x6)
af220312|	lr.w.rl x5,(x6)
b7829102|	lui x5,0x2918
8322f37f|	lw x5,2047(x6)
8362f37f|	lwu x5,2047(x6)
b3027302|	mul x5,x6,x7
b3127302|	mulh x5,x6,x7
b3227302|	mulhsu x5,x6,x7
b3327302|	mulhu x5,x6,x7
bb027302|	mulw x5,x6,x7
b3627300|	or x5,x6,x7
93620380|	ori x5,x6,-2048
b3627302|	rem x5,x6,x7
b3727302|	remu x5,x6,x7
bb627302|	remw x5,x6,x7
a30f537e|	sb x5,2047(x6)
afb26318|	sc.d x5,x6,(x7)
afb2631c|	sc.d.aq x5,x6,(x7)
afb2631a|	sc.d.rl x5,x6,(x7)
afa26318|	sc.w x5,x6,(x7)
afa2631c|	sc.w.aq x5,x6,(x7)
afa2631a|	sc.w.rl x5,x6,(x7)
a33f537e|	sd x5,2047(x6)
23105380|	sh x5,-2048(x6)
b3127300|	sll x5,x6,x7
93124303|	slli x5,x6,0x34
9b127301|	slliw x5,x6,0x17
b3227300|	slt x5,x6,x7
b3226000|	sgtz x5,x6
b32e0f00|	sltz x29,x30
9322f37f|	slti x5,x6,2047
93320380|	sltiu x5,x6,-2048
93321300|	seqz x5,x6
b3327300|	sltu x5,x6,x7
33394001|	snez x18,x20
b3527340|	sra x5,x6,x7
93524343|	srai x5,x6,0x34
9b526341|	sraiw x5,x6,0x16
bb527340|	sraw x5,x6,x7
b3527300|	srl x5,x6,x7
93524303|	srli x5,x6,0x34
9b526301|	srliw x5,x6,0x16
bb527300|	srlw x5,x6,x7
b3027340|	sub x5,x6,x7
b3026040|	neg x5,x6
bb027340|	subw x5,x6,x7
3b0ff041|	negw x30,x31
a32f537e|	sw x5,2047(x6)
b3427300|	xor x5,x6,x7
9342f37f|	xori x5,x6,2047
93c2ffff|	not x5,x31
bb003108|	add.uw x1,x2,x3
33a26220|	sh1add x4,x5,x6
bb239420|	sh1add.uw x7,x8,x9
33c5c520|	sh2add x10,x11,x12
bb46f720|	sh2add.uw x13,x14,x15
33e82821|	sh3add x16,x17,x18
bb695a21|	sh3add.uw x19,x20,x21
1b9b7b09|	slli.uw x22,x23,0x17
33fcac41|	andn x24,x25,x26
b36dde41|	orn x27,x28,x29
33cf1f40|	xnor x30,x31,x1
13910160|	clz x2,x3
1b920260|	clzw x4,x5
13931360|	ctz x6,x7
1b941460|	ctzw x8,x9
13952560|	cpop x10,x11
1b962660|	cpopw x12,x13
33e7070b|	max x14,x15,x16
b378390b|	maxu x17,x18,x19
33ca6a0b|	min x20,x21,x22
b35b9c0b|	minu x23,x24,x25
139d4d60|	sext.b x26,x27
139e5e60|	sext.h x28,x29
3bcf0f08|	zext.h x30,x31
b3102060|	rol x1,x0,x2
bb115260|	rolw x3,x4,x5
33d38360|	ror x6,x7,x8
9354a560|	rori x9,x10,0xa
9b55e660|	roriw x11,x12,0xe
bb56f760|	rorw x13,x14,x15
13d87828|	orc.b x16,x17
13d9896b|	rev8 x18,x19
339a6a49|	bclr x20,x21,x22
931bfc48|	bclri x23,x24,0xf
b35cbd49|	bext x25,x26,x27
13de8e48|	bexti x28,x29,0x8
339f0f68|	binv x30,x31,x0
9310016a|	binvi x1,x2,0x20
b3115228|	bset x3,x4,x5
1393f32b|	bseti x6,x7,0x3f
4000|	addi x8,x2,4
2041|	lw x8,64(x10)
94d0|	sw x13,32(x9)
0100|	nop
811f|	addi x31,x31,-32
4111|	addi x2,x2,-16
8158|	li x17,-32
4161|	addi x2,x2,16
4163|	lui x6,0x10
819b|	andi x15,x15,-32
0d8c|	sub x8,x8,x11
b18c|	xor x9,x9,x12
558c|	or x8,x8,x13
f98c|	and x9,x9,x14
01a8|	j 16
99c5|	beqz x11,14
85e3|	bnez x15,32
c248|	lw x17,16(x2)
8283|	jr x7
fa88|	mv x17,x30
0290|	ebreak
0295|	jalr x10
c297|	add x15,x15,x16
76c4|	sw x29,8(x2)
8873|	ld x10,32(x15)
00ea|	sd x8,16(x12)
3d31|	addiw x2,x2,-17
2180|	srli x8,x8,0x8
c184|	srai x9,x9,0x10
919d|	subw x11,x11,x12
b99e|	addw x13,x13,x14
4a01|	slli x2,x2,0x12
027d|	ld x26,32(x2)
a260|	ld x1,8(x2)
864d|	lw x27,64(x2)
2021|	fld f8,64(x10)
8cb0|	fsd f11,32(x9)
8624|	fld f9,64(x2)
3eb0|	fsd f15,32(x2)
0000|	unimp
ab|	illegalins
f3|	illegalins
abc3|	illegalins
abcde3|	illegalins
